Attitude,,,,Error,,,DError,,,Torque,,
0.5418918,0.5157836,0.5269216,0.4033289,10.9498,-3.806671,-6.610748,-5.421875,5.265808,-3.442383,-8.706815,6.407809,-1.459158
0.5419953,0.5084533,0.5301942,0.4081793,11.51065,-4.670517,-6.203308,-4.486816,6.910767,-3.259521,-7.940012,8.311922,-1.398529
0.540416,0.5012476,0.5348901,0.4130303,11.90698,-5.713043,-5.825638,-3.170654,8.34021,-3.021362,-6.742749,10.05412,-1.273671
0.5373425,0.4949024,0.5405886,0.4172514,12.08789,-6.825851,-5.500046,-1.447266,8.902466,-2.604736,-5.073633,10.95022,-0.9547225
0.5330193,0.4895973,0.5470663,0.4205988,12.05072,-7.960609,-5.217484,0.2973633,9.078064,-2.260498,-3.317853,11.46625,-0.6952529
0.5277125,0.485444,0.5540825,0.4229141,11.80405,-9.074165,-4.968895,1.973389,8.908447,-1.988708,-1.567826,11.6307,-0.49804
0.5216852,0.4824955,0.5613992,0.4241152,11.36441,-10.13023,-4.74678,3.51709,8.448547,-1.776917,0.1077666,11.48762,-0.3528824
0.5151832,0.480758,0.5687951,0.4241817,10.7533,-11.0998,-4.545876,4.888916,7.756531,-1.607239,1.662927,11.08647,-0.243476
0.508428,0.4802018,0.5760733,0.4231391,9.994812,-11.96066,-4.363228,6.067871,6.886841,-1.461182,3.069427,10.47504,-0.1522132
0.5016149,0.4807699,0.5830642,0.4210451,9.113861,-12.69656,-4.197891,7.047607,5.887268,-1.322693,4.313449,9.696238,-0.06332541
0.4949129,0.4823861,0.5896265,0.4179778,8.135223,-13.29625,-4.050491,7.829102,4.797485,-1.179199,5.388535,8.78636,0.03594828
0.488468,0.4849607,0.5956454,0.4140275,7.082672,-13.75238,-3.922661,8.42041,3.649048,-1.022644,6.295609,7.774762,0.1541543
0.4824052,0.4883953,0.6010303,0.4092896,5.978729,-14.06076,-3.816612,8.831543,2.467041,-0.8483887,7.037924,6.685269,0.2965951
0.4768324,0.492586,0.6057114,0.4038611,4.844513,-14.21954,-3.734673,9.07373,1.270264,-0.6555176,7.620377,5.536127,0.4648843
